NCBI_GeneID	NCBI_UnigeneID	NCBI_RefSeqID	Affymetrix_probesetID	organism
104	Hs.474018	NM_001160230	207999_s_at	human
104	Hs.474018	NM_001160230	209979_at	human
104	Hs.474018	NM_015833	203865_s_at	human
104	Hs.474018	NM_015833	207999_s_at	human
104	Hs.474018	NM_015833	209979_at	human
104	Hs.474018	NM_015834	203865_s_at	human
104	Hs.474018	NR_027672		human
104	Hs.474018	NR_027673		human
104	Hs.474018	NR_027674		human
105		NM_018702	220648_at	human
107	Hs.192215	NM_021116	213245_at	human
107	Hs.192215	NM_021116	215348_at	human
108	Hs.481545	NM_020546	213217_at	human
108	Hs.481545	NM_020546	213219_at	human
108	Hs.481545	NM_020546	217687_at	human
109	Hs.467898	NM_004036	209320_at	human
109	Hs.467898	NM_004036	209321_s_at	human
111	Hs.593293	NM_183357		human
111		NM_183357		human
112	Hs.525401	NM_015270	209195_s_at	human
112	Hs.525401	NM_015270	216743_at	human
112	Hs.525401	NM_020983	209195_s_at	human
112	Hs.525401	NM_020983	216743_at	human
112		NM_015270	209195_s_at	human
112		NM_015270	216743_at	human
112		NM_020983	209195_s_at	human
112		NM_020983	216743_at	human
113	Hs.513578	NM_001114000		human
114	Hs.591859	NM_001115000		human
115	Hs.391860	NM_001116	204497_at	human
115	Hs.391860	NM_001116	204498_s_at	human
115	Hs.610484	NM_001116	204497_at	human
115	Hs.610484	NM_001116	204498_s_at	human
116	Hs.531719	NM_001099733	206281_at	human
116	Hs.531719	NM_001117	206281_at	human
117	Hs.377783	NM_001118885	207462_at	human
118	Hs.183706	NM_001119	208030_s_at	human
118	Hs.183706	NM_001119	214726_x_at	human
118	Hs.183706	NM_001119	214736_s_at	human
118	Hs.183706	NM_014189	208030_s_at	human
118	Hs.183706	NM_014189	214726_x_at	human
118	Hs.183706	NM_014189	214736_s_at	human
118	Hs.183706	NM_014190	208030_s_at	human
118	Hs.183706	NM_014190	214726_x_at	human
118	Hs.183706	NM_014190	214736_s_at	human
118	Hs.183706	NM_176801	208030_s_at	human
